id,claim_or_use,source_title,author,publisher,date,tier,url_or_reference,exact_location,access_date,rights_status,notes
S01,"Prefacio de Hokusai (1834): la 'escala de edades' - de los 73 en adelante empezaria a entender la naturaleza; a los 100 seria maravilloso; a los 110 cada punto y cada linea estarian vivos","Hokusai: One Hundred Views of Mt. Fuji","Henry D. Smith II","George Braziller","1988","A","ISBN a completar","introduccion / traduccion del colofon de Fugaku Hyakkei vol. 1 - pag. a completar","2026-08-29","texto primario (1834, dominio publico); TRADUCCION PROPIA para el guion","no copiar la traduccion de Smith; usarla solo para verificar el sentido"
S02,"Hokusai nace hacia 1760 en el distrito de Katsushika, Edo","Hokusai: Beyond the Great Wave","Timothy Clark (ed.)","Thames & Hudson / British Museum","2017","B","ISBN a completar","cap. cronologia / biografia - pag. a completar","2026-08-29","cita academica breve","catalogo de la exposicion del British Museum"
S03,"Entra como aprendiz en el taller de Katsukawa Shunsho hacia 1778; publica sus primeros grabados como 'Shunro'","Hokusai","Gian Carlo Calza","Phaidon","2003","B","ISBN a completar","seccion biografia temprana - pag. a completar","2026-08-29","cita academica breve","verificar la fecha exacta"
S04,"Tras la muerte de Shunsho (1793) Hokusai deja - o es apartado de - la escuela Katsukawa; la tradicion lo atribuye a que estudiaba otras escuelas","Hokusai","Gian Carlo Calza","Phaidon","2003","B","ISBN a completar","pag. a completar","2026-08-29","cita academica breve","ANECDOTA DE TRADICION - atribuir en pantalla ('segun se cuenta'), no afirmar como hecho cerrado"
S05,"Hokusai uso a lo largo de su vida unos treinta nombres artisticos (Shunro, Sori, Hokusai, Taito, Iitsu, Gakyo Rojin, Manji, entre otros), a menudo ligados a cambios de estilo o vendiendo el nombre anterior a un discipulo","Hokusai: Beyond the Great Wave","Timothy Clark (ed.)","Thames & Hudson / British Museum","2017","B","ISBN a completar","seccion sobre nombres / go - pag. a completar","2026-08-29","cita academica breve","LA CIFRA '30' SE REPITE MUCHO - verificar el recuento exacto de esta fuente y presentar como 'unos treinta'"
S06,"Se le atribuyen unas 93 mudanzas a lo largo de su vida; vivio en la pobreza y era indiferente al dinero y al orden domestico","Hokusai","Gian Carlo Calza","Phaidon","2003","B","ISBN a completar","pag. a completar","2026-08-29","cita academica breve","CIFRA '93' MUY REPETIDA, ORIGEN DEBIL - atribuir ('la cifra que suele citarse es...') y buscar 2a fuente"
S07,"Un incendio destruyo su casa-taller y gran parte de su obra y materiales hacia 1839","Hokusai: Beyond the Great Wave","Timothy Clark (ed.)","Thames & Hudson / British Museum","2017","B","ISBN a completar","cronologia, entrada c. 1839 - pag. a completar","2026-08-29","cita academica breve","verificar el ano exacto"
S08,"Las deudas de un nieto (hijo de su hija mayor) lo dejaron en la ruina en la decada de 1830; Hokusai las pago","Hokusai","Gian Carlo Calza","Phaidon","2003","B","ISBN a completar","pag. a completar","2026-08-29","cita academica breve","verificar el parentesco exacto y las fechas"
S09,"La serie 'Treinta y seis vistas del monte Fuji' se publico hacia 1830-1832, cuando Hokusai tenia unos setenta anos; incluye 'La gran ola frente a Kanagawa' (Kanagawa-oki nami-ura)","The Metropolitan Museum of Art - ficha del objeto 'Under the Wave off Kanagawa'","The Metropolitan Museum of Art","The Met","(ficha en linea)","A","https://www.metmuseum.org/art/collection - numero de acceso a completar","ficha del objeto / datacion","2026-08-29","imagen CC0; datos de ficha de museo","cotejar datacion con Art Institute of Chicago"
S10,"Los 'Hokusai Manga' (cuadernos de bocetos), publicados desde 1814, fueron un exito comercial de gran tirada","Hokusai","Gian Carlo Calza","Phaidon","2003","B","ISBN a completar","seccion sobre los Manga - pag. a completar","2026-08-29","cita academica breve","dato para matizar el mito del 'genio incomprendido': tuvo exito de ventas en vida"
S11,"En sus ultimos anos vivio y trabajo con su hija Katsushika Oi, tambien pintora, que lo cuidaba; se discute su participacion en obras tardias atribuidas a Hokusai","Hokusai: Beyond the Great Wave","Timothy Clark (ed.)","Thames & Hudson / British Museum","2017","B","ISBN a completar","seccion sobre Oi - pag. a completar","2026-08-29","cita academica breve","tratar la atribucion como cuestion abierta"
S12,"Hokusai murio en Edo en 1849, a los ~88 anos; segun los relatos, en el lecho de muerte deseo diez (o cinco) anos mas de vida para llegar a ser 'un verdadero pintor'","Hokusai","Gian Carlo Calza","Phaidon","2003","B","ISBN a completar","pag. finales - a completar","2026-08-29","relato tradicional; TRADUCCION PROPIA","PALABRAS DEL LECHO DE MUERTE: relato tradicional, versiones varian (cinco/diez anos) - presentar como 'segun se cuenta' y con traduccion propia"
S13,"Firmo obra tardia como 'Gakyo Rojin Manji' - 'el viejo loco por la pintura'","Hokusai: Beyond the Great Wave","Timothy Clark (ed.)","Thames & Hudson / British Museum","2017","B","ISBN a completar","seccion sobre firmas tardias - pag. a completar","2026-08-29","cita academica breve; TRADUCCION PROPIA del nombre","—"
S14,"'La gran ola' se convirtio en una de las imagenes mas reproducidas del mundo; influyo en artistas europeos (japonismo) a finales del s. XIX","Hokusai: Beyond the Great Wave","Timothy Clark (ed.)","Thames & Hudson / British Museum","2017","B","ISBN a completar","seccion sobre recepcion / japonismo - pag. a completar","2026-08-29","cita academica breve","concretar ejemplos (Monet, Van Gogh, Debussy 'La Mer') con fuente"
S15,"Concepto - la maestria como direccion y no como destino / el objetivo inalcanzable como motor sostenido","(referencia a completar - literatura de psicologia sobre metas de aproximacion vs. de rendimiento, p. ej. Dweck sobre mentalidad de crecimiento o Elliot sobre goal orientation)","(autor a completar)","(revista/manual a completar)","(ano a completar)","B","referencia a completar","—","2026-08-29","cita academica breve","nombrar el concepto y su fuente en la reflexion; NO presentarlo como hecho del caso sino como lectura"
S16,"Grabado - retrato de Hokusai anciano por su hija (o autorretrato); usar como B-roll","(coleccion a definir - p. ej. reproducciones en el catalogo del British Museum / Wikimedia)","(atribuido)","(museo)","c. 1840s","A","referencia a completar","—","2026-08-29","dominio publico","confirmar la ficha del objeto"
S17,"En 1817, en Nagoya, Hokusai pinto ante publico un retrato gigante de Daruma sobre papel extendido en el suelo; tambien se le atribuyen pinturas en miniatura (sobre un grano de arroz)","Hokusai","Gian Carlo Calza","Phaidon","2003","B","ISBN a completar","seccion sobre demostraciones publicas - pag. a completar","2026-08-29","cita academica breve","VERIFICAR fecha exacta y dimensiones del Daruma; las miniaturas 'sobre grano de arroz' son relato tradicional - atribuir"
S18,"Las 'Treinta y seis vistas del monte Fuji' usan de forma prominente el azul de Prusia (bero-ai), pigmento sintetico importado que se abarato en Japon hacia finales de la decada de 1820","Hokusai: Beyond the Great Wave","Timothy Clark (ed.)","Thames & Hudson / British Museum","2017","B","ISBN a completar","seccion sobre las 36 vistas / pigmentos - pag. a completar","2026-08-29","cita academica breve","dato de historia del arte bien establecido; confirmar fechas de disponibilidad del pigmento"
S19,"Recepcion en Europa (japonismo): Monet coleccionaba estampas japonesas en Giverny; Van Gogh copio composiciones japonesas; la portada de la 1a edicion de 'La Mer' de Debussy (1905) reproducia una version de 'La gran ola'","(referencias a completar; parcialmente en Clark 2017)","varios","varios","varios","B","referencias a completar (coleccion de Giverny; correspondencia de Van Gogh; ediciones de Durand de 'La Mer' 1905)","—","2026-08-29","cita academica breve","VERIFICAR cada ejemplo por separado con su propia fuente antes de citar"
