id,claim_or_use,source_title,author,publisher,date,tier,url_or_reference,exact_location,access_date,rights_status,notes
S01,"Biografía de John Stith Pemberton: nacimiento/muerte, servicio en la Guerra Civil (teniente coronel, 3er Batallón de Caballería de Georgia, herido cerca de Columbus en abril de 1865), carrera farmacéutica en Columbus y Atlanta (1850s-1880s), petición de incorporación de la Coca-Cola Company en marzo de 1888","John Stith Pemberton (1831-1888)",New Georgia Encyclopedia (Georgia Humanities / Univ. of Georgia Press),"New Georgia Encyclopedia","consultado 2026-09-12",B,"https://www.georgiaencyclopedia.org/articles/business-economy/john-stith-pemberton-1831-1888/","artículo completo","2026-09-12","© Georgia Humanities — citar con atribución, no reproducir texto","Enciclopedia estatal editada/revisada, no wiki abierta — más fiable que Wikipedia para fechas y cargos, pero no da detalle sobre la adicción ni sobre el traspaso a Candler — cruzar con S02"
S02,"Cronología de referencia más citada del caso: la adicción a la morfina de Pemberton, el French Wine Coca (1885), la fórmula de 1886 tras la prohibición de Atlanta, el reparto/venta de derechos entre varias partes antes de morir, y la retirada progresiva de la cocaína de la fórmula hacia 1901-1903","For God, Country and Coca-Cola",Mark Pendergrast,"Basic Books (3ª ed.)",2013,B,"—","libro completo — historia corporativa de referencia, extensamente investigada y citada por toda la prensa/historiografía posterior","2026-09-12","© Basic Books — usar como fuente secundaria, no reproducir texto","**Pendiente Stage 2 (siguiente pasada):** localizar edición física/digital y verificar página exacta de cada afirmación antes de Stage 4 — por ahora esta fila resume el consenso de la literatura secundaria, no una cita verificada línea por línea"
S03,"Detalle no confirmado por S01/S02: la herida de sable (no de bala), la adicción a la morfina como causa directa de experimentar con tónicos, la cronología de venta de derechos a Candler ($2.300 total, consolidada hacia 1891), causa de muerte (cáncer de estómago), y su único hijo, Charles Ney Pemberton (n. 1854) — continuó vendiendo la fórmula de su padre y murió unos seis años después (hacia 1894), por adicción al opio — usar solo como pista, no como respaldo final","John Stith Pemberton","Wikipedia (varios editores)","Wikimedia Foundation","consultado 2026-09-12 / re-verificado 2026-09-18",C,"https://en.wikipedia.org/wiki/John_Stith_Pemberton","artículo completo","2026-09-18","—","Tier C por regla del canal (resumen enciclopédico sin revisión editorial) — **cada afirmación que solo viene de aquí necesita subir de tier (prensa primaria / Pendergrast con página) antes de Stage 4**"
S07,"Corroboración independiente (parcial) de la historia de Charles Ney Pemberton: adicción heredada (la fuente dice alcoholismo crónico + morfina, no opio como S03) y muerte alrededor de los 40 años; también describe la muerte de John Pemberton como cáncer abdominal — coincide con S03 en la causa (cáncer), difiere en el detalle exacto de la adicción del hijo. **Nota de fiabilidad:** esta fuente da la fecha de muerte de John Pemberton como 1886, que es errónea (contradice S01/S02/S03 y la propia cronología del artículo — Coca-Cola se inventó en 1886, no puede haber muerto ""sin saber del éxito de Coca-Cola"" el mismo año que la inventó). Tratar como Tier C débil, solo para corroborar que la historia del hijo no es una anécdota aislada de un solo sitio — no citar ningún dato específico que dependa solo de esta fuente sin cruzarlo","The man behind the bottle","Hektoen International — Journal of Medical Humanities (autor no especificado en el fetch)","hekint.org","consultado 2026-09-18",C,"https://hekint.org/2025/06/30/the-man-behind-the-bottle/","artículo completo","2026-09-18","—","Encontrada en Stage 4 (pasada de reescritura del cierre, 2026-09-18) para corroborar el hallazgo de S03 sobre el hijo de Pemberton — tiene al menos un error factual verificado (fecha de muerte), así que su peso probatorio es bajo; útil solo como segunda fuente independiente de que el patrón (hijo con la misma adicción, muerto joven) aparece en más de un sitio"
S04,"La versión oficial que la propia empresa cuenta de su origen — sirve como objeto de contraste (qué se cuenta y qué se omite), no como respaldo de los hechos incómodos; no menciona la adicción de Pemberton, la cocaína, ni los detalles de la disputa por los derechos","The Asa Candler Era / The Birth of a Refreshing Idea",The Coca-Cola Company,"coca-colacompany.com","consultado 2026-09-12","D (fuente corporativa propia — nunca respalda un hecho, solo se cita como lo que la marca dice de sí misma)","https://www.coca-colacompany.com/about-us/history/the-asa-candler-era","página institucional completa","2026-09-12","© The Coca-Cola Company — citar como objeto de análisis, con atribución explícita en pantalla","Uso deliberado y central para la tesis del episodio (`brain/01` — el relato oficial es curaduría): se cita EXPRESAMENTE como 'esto es lo que la empresa cuenta', igual que Mackay se citó en E003 como origen del mito, no como respaldo de hechos"
S05,"Frank Mason Robinson (socio/contable de Pemberton) sugirió el nombre 'Coca-Cola' y escribió el logo en script Spencerian en 1886; y la disputa de titularidad: Pemberton habría vendido participaciones/derechos superpuestos a varias partes (Margaret Dozier, Woolfolk Walker, J. C. Mayfield, y finalmente Candler) antes de morir en 1888 — pista a confirmar contra registro judicial (caso Mayfield)","Frank Mason Robinson / Coca-Cola formula / J. C. Mayfield","Wikipedia (varios editores)","Wikimedia Foundation","consultado 2026-09-12",C,"https://en.wikipedia.org/wiki/Frank_Mason_Robinson ; https://en.wikipedia.org/wiki/J._C._Mayfield","artículos completos","2026-09-12","—","Tier C — **pista de alto valor narrativo** (el traspaso de derechos fue mucho más caótico que 'Pemberton vendió a Candler'): localizar el registro judicial real del pleito Mayfield/Candler (sería Tier A) antes de escribir esa escena en el guion"
S06,"Fecha de referencia institucional para el primer Coca-Cola servido (mayo de 1886, farmacia Jacobs') — cruza con S01/S02 para la fecha de invención","World's First Coca-Cola was Served — This Month in Business History","Library of Congress (guía de investigación institucional)","Library of Congress","consultado 2026-09-12",A,"https://guides.loc.gov/this-month-in-business-history/may/first-coca-cola-served","guía completa","2026-09-12","dominio público / recurso institucional del gobierno de EE. UU.","Guía de investigación de una institución gubernamental (no un blog) — Tier A por procedencia institucional, aunque el contenido en sí resume, no es archivo primario directo"
S08,"Detalle nuevo sobre Charles Ney Pemberton: en 1888 Pemberton intentó reservar una parte de los derechos de la fórmula para dejársela a su hijo, pero el hijo quería el dinero, así que padre e hijo vendieron juntos la parte restante de la patente ese mismo año; el hijo murió de adicción al opio unos seis años después. También confirma esposa Ann Eliza 'Cliff' Lewis (matrimonio 1853, Columbus) e hijo único nacido 1854","John Pemberton","The Allred Family (sitio de historia genealógica)","myallredfamily.com","consultado 2026-09-18",C,"https://myallredfamily.com/front-page/famous-allreds/john-pemberton/","artículo completo","2026-09-18","—","Sitio genealógico/aficionado, no editorial — Tier C. Corrobora y añade detalle a S03/S07 (el hijo, la venta de 1888) sin contradecirlas. **No confirmado en ninguna fuente:** una posible separación entre Pemberton y su esposa — un resumen automatizado de búsqueda sugirió esto pero NO se encontró en el texto de S08 ni de ninguna otra fuente consultada; descartado, no usar en guion"
S09,"El «self-medication hypothesis» (hipótesis de la automedicación): la adicción, en muchos casos, funciona como un intento — desadaptativo pero comprensible — de regular un malestar emocional o físico previo, no como búsqueda de placer sin más. Usado en el cierre como lectura psicológica del patrón Pemberton-padre / Pemberton-hijo, presentado como una lectura, no como diagnóstico retroactivo de ninguno de los dos","The Self-Medication Hypothesis of Addictive Disorders: Focus on Heroin and Cocaine Dependence",Edward J. Khantzian,"American Journal of Psychiatry, vol. 142, núm. 11, pp. 1259–1264",1985,B,"https://doi.org/10.1176/ajp.142.11.1259","artículo completo (resumen verificado vía Psychiatric Times / PubMed, no el PDF original)","2026-09-18","© American Psychiatric Association — citar el concepto y su autor, no reproducir el artículo","Teoría psicológica real y ampliamente citada en el campo de las adicciones — verificar antes de Stage 5 que la paráfrasis en el guion representa la hipótesis con precisión (`brain/09` A6)"
S10,"Parábola del buen samaritano — usada en el cierre como lectura religiosa (una entre varias tradiciones posibles, no LA verdad) sobre notar y actuar ante la necesidad de alguien que otros pasan de largo; anclaje del 'para llevar' del episodio, no de ningún hecho histórico sobre Pemberton","Evangelio de Lucas 10:25-37","La Biblia (Nuevo Testamento)","—","—",B,"—","pasaje completo, cualquier traducción estándar al español","2026-09-18","texto de dominio público","Presentada explícitamente en el guion como 'una idea', atribuida a la tradición cristiana, nunca como respaldo de un hecho — cumple `brain/09` reglas 2/3 (framing + plural audience)"
