id,claim_or_use,source_title,author,publisher,date,tier,url_or_reference,exact_location,access_date,rights_status,notes
S01,"La South Sea Company se constituyo en 1711 y asumio deuda publica a cambio de interes y de derechos de comercio con la America espanola","The South Sea Bubble","John Carswell","Alan Sutton (ed. rev.)","1993","B","ISBN a completar","cap. 1-2 (a completar)","2026-08-28","cita academica breve","obra de referencia; cotejar con Hoppit"
S02,"El comercio real de la compania fue minimo: el Tratado de Utrecht (1713) solo concedio el asiento de esclavos y un navio anual, y Espana limito el acceso","The Myths of the South Sea Bubble","Julian Hoppit","Transactions of the Royal Historical Society, vol. 12","2002","B","DOI a completar","pp. a completar","2026-08-28","cita academica breve","Hoppit corrige exageraciones del relato popular"
S03,"En 1720 el Parlamento aprobo el plan de la compania para convertir mas deuda publica en acciones suyas","Journals of the House of Commons / Report of the Committee of Secrecy","House of Commons","Archivo parlamentario del Reino Unido","1721","A","signatura de archivo a completar","volumen/pagina a completar","2026-08-28","dominio publico","fuente primaria oficial"
S04,"La cotizacion de la accion subio con fuerza durante 1720 (cifras que circulan: ~128 libras en enero a ~1000 en verano) y volvio a caer en otono","The South Sea Bubble","John Carswell","Alan Sutton (ed. rev.)","1993","B","ISBN a completar","apendice de cotizaciones (a completar)","2026-08-28","cita academica breve","CIFRAS REDONDEADAS - verificar rango exacto contra 2+ fuentes antes de citar; presentar como aproximacion"
S05,"En junio de 1720 se aprobo la llamada Bubble Act, que restringia la creacion de sociedades por acciones sin autorizacion","(estatuto) Royal Exchange and London Assurance Corporation Act 1719","Parlamento de Gran Bretana","recopilaciones de estatutos","1720","A","referencia del estatuto a completar","—","2026-08-28","dominio publico","nombre popular 'Bubble Act'; fecha de sancion a verificar"
S06,"La investigacion parlamentaria de 1721 encontro sobornos y asiento contable irregular a favor de politicos y directores; hubo confiscacion de patrimonios y penas","Report of the Committee of Secrecy, 1721","House of Commons","Archivo parlamentario del Reino Unido","1721","A","signatura a completar","secciones a completar","2026-08-28","dominio publico","fuente primaria del escandalo"
S07,"John Aislabie, ministro de Hacienda (Chancellor of the Exchequer), fue hallado responsable y encarcelado en la Torre de Londres","Report of the Committee of Secrecy, 1721 / Carswell 1993","House of Commons; John Carswell","Archivo parlamentario; Alan Sutton","1721; 1993","A","signatura / ISBN a completar","a completar","2026-08-28","dominio publico / cita breve","verificar duracion y terminos"
S08,"Robert Walpole gano influencia politica gestionando las consecuencias del colapso","The South Sea Bubble","John Carswell","Alan Sutton (ed. rev.)","1993","B","ISBN a completar","caps. finales (a completar)","2026-08-28","cita academica breve","'gestor del colapso' - matizar el mito del 'salvador'"
S09,"CITA APOCRIFA - la frase atribuida a Isaac Newton ('puedo calcular el movimiento de los astros pero no la locura de la gente') no tiene fuente contemporanea fiable","(nota de la produccion)","—","—","—","D","varias divulgaciones la repiten sin fuente primaria","—","2026-08-28","no se cita como real","USAR SOLO como ejemplo de cita que NO usamos, o presentar explicitamente como leyenda"
S10,"Grabado satirico de la epoca sobre la especulacion en Exchange Alley","(coleccion a definir - p. ej. British Museum / Rijksmuseum)","(autor de epoca)","(museo/biblioteca)","c. 1720","A","referencia de coleccion a completar","—","2026-08-28","dominio publico (>100 anos)","B-roll; confirmar la ficha del objeto"
S11,"Interpretacion: en ausencia de una valoracion propia, los inversores tomaron el precio en alza como senal de informacion (prueba social / cascada informacional)","(concepto - atribuir a literatura sobre cascadas informacionales)","Bikhchandani, Hirshleifer, Welch (u obra de referencia equivalente)","Journal of Political Economy / manual","1992 (o ed. posterior)","B","referencia a completar","—","2026-08-28","cita academica breve","nombrar el concepto y su fuente; NO presentarlo como hecho del caso sino como lectura"
